name,Accuracy,Precision,Recall,F1
LinearSVC().None,0.7861125862984599,0.7872655927071337,0.7861125862984599,0.7849244687106159
LinearSVC().TfidfTransformer(use_idf=False),0.8251460435475305,0.8255228243350189,0.8251460435475305,0.8230100564030493
LinearSVC().TfidfTransformer(),0.8531598513011153,0.8543652158564399,0.8531598513011153,0.851876062902485
MultinomialNB().None,0.7728359001593202,0.7616683207318354,0.7728359001593202,0.7511127577441177
MultinomialNB().TfidfTransformer(use_idf=False),0.7052575677110993,0.78548015927203,0.7052575677110993,0.6920561650276855
MultinomialNB().TfidfTransformer(),0.7738980350504514,0.8218781741893993,0.7738980350504514,0.7684457156894653
SGDClassifier().None,0.7655337227827934,0.7784062173831411,0.7655337227827934,0.7677087796823127
SGDClassifier().TfidfTransformer(use_idf=False),0.805894848645778,0.8102309456617467,0.805894848645778,0.8019361325126119
SGDClassifier().TfidfTransformer(),0.852761550716941,0.8537436380610911,0.852761550716941,0.8510729316313187
