Classifier,Features,Mean Accuracy,Precision,Recall,F1
knn,counts,0.352,0.421,0.352,0.357
knn,tf,0.408,0.489,0.408,0.417
knn,tfidf,0.659,0.674,0.659,0.66
nb,counts,0.773,0.762,0.773,0.751
nb,tf,0.705,0.785,0.705,0.692
nb,tfidf,0.774,0.822,0.774,0.768
sgdc,counts,0.758,0.784,0.758,0.759
sgdc,tf,0.808,0.813,0.808,0.804
sgdc,tfidf,0.852,0.853,0.852,0.85
